housing_units_occ,homeowner_units_occ,renters_units_occ,med_rent,med_household_price,zip
4992,2778,2214,931,296900,2885
12725,8000,4725,1221,245000,2886
8156,6310,1846,1076,228900,2888
11454,8638,2816,1116,230300,2889
9805,6812,2993,1079,327700,2891
1899,1557,342,1495,351600,2892
13359,7144,6215,1068,223400,2893
265,246,19,-,234800,2894
16515,6151,10364,921,191500,2895
4634,3563,1071,960,317000,2896
500,453,47,835,272900,2898
4826,838,3988,1162,357900,2903
11804,5758,6046,963,223500,2904
9509,4548,4961,935,228700,2905
11218,5356,5862,1376,426300,2906
10081,3047,7034,935,198300,2907
13431,6369,7062,1071,201300,2908
14507,4955,9552,945,195100,2909
8516,5942,2574,1108,221700,2910
6639,3706,2933,1092,237300,2911
0,0,0,-,-,2912
9073,4591,4482,988,224900,2914
7150,4794,2356,1043,229800,2915
3758,2804,954,901,260900,2916
4729,3587,1142,873,294600,2917
11517,8134,3383,1015,238600,2919
14009,9037,4972,1083,256600,2920
4622,3701,921,1208,365500,2921
4339,3942,397,1172,371400,3031
1924,1746,178,1875,374000,3032
1738,1658,80,1402,344700,3033
1515,1465,50,1695,287500,3034
1744,1730,14,-,359100,3036
1616,1377,239,1428,317300,3037
12844,8533,4311,1194,264300,3038
2730,2354,376,1397,309600,3042
619,567,52,1326,306300,3043
1679,1572,107,1648,283900,3044
5181,4248,933,1214,275300,3045
1003,943,60,967,326800,3046
669,550,119,478,245800,3047
1501,1247,254,1067,204000,3048
2959,2709,250,1557,480400,3049
9396,7936,1460,1300,312500,3051
3020,2620,400,1643,334500,3052
9433,8171,1262,1430,345700,3053
9956,8651,1305,1564,299000,3054
6434,3691,2743,1308,265700,3055
929,841,88,1542,352700,3057
11848,4272,7576,1159,244300,3060
11695,8009,3686,1520,295500,3062
6775,4091,2684,1433,280400,3063
6128,3555,2573,1253,292100,3064
2104,1864,240,1085,323400,3070
1855,1668,187,877,250900,3071
4755,4294,461,1214,361600,3076
4102,3166,936,1297,245700,3077
11885,9252,2633,1277,339000,3079
621,575,46,1417,263800,3082
506,438,68,1239,294100,3084
1679,1338,341,1134,271400,3086
5024,4697,327,2645,482900,3087
1689,99,1590,1253,253900,3101
13977,4849,9128,1235,225800,3102
14797,6335,8462,1060,222100,3103
13903,7679,6224,1130,272000,3104
5130,3845,1285,1434,274700,3106
4008,3048,960,1359,241700,3109
7912,6764,1148,1705,437300,3110
111,93,18,1047,363300,3215
901,790,111,926,235300,3216
921,460,461,1009,174300,3217
433,340,93,1153,193400,3218
3104,2709,395,885,194000,3220
845,765,80,1017,232400,3221
2284,1813,471,863,204700,3222
1302,1076,226,780,188200,3223
918,875,43,-,266200,3224
1343,1239,104,1204,199900,3225
412,360,52,1039,365100,3226
608,569,39,1675,297600,3227
2214,1970,244,1067,281000,3229
620,569,51,1080,156000,3230
103,80,23,-,307900,3231
151,141,10,-,580900,3233
1721,1487,234,1020,240600,3234
3969,2595,1374,891,189500,3235
743,682,61,-,245400,3237
47,46,1,-,125000,3238
512,475,37,1000,173200,3240
366,324,42,1071,291700,3241
1828,1285,543,841,243900,3242
334,309,25,1304,185000,3243
2831,2586,245,968,202000,3244
814,602,212,1662,297600,3245
7075,4044,3031,991,193400,3246
3016,2726,290,994,257100,3249
542,411,131,971,241100,3251
3089,2396,693,1215,314200,3253
1809,1622,187,1397,333800,3254
797,728,69,406,299300,3255
932,787,145,976,244200,3256
1520,1265,255,1315,366400,3257
1041,957,84,1268,279400,3258
233,225,8,-,323400,3259
411,385,26,1531,280000,3260
1697,1449,248,978,265900,3261
501,393,108,1298,243600,3262
1778,1193,585,775,203000,3263
2510,1431,1079,892,194100,3264
794,700,94,808,179900,3266
587,562,25,1055,221400,3268
1115,834,281,1000,277800,3269
110,102,8,-,266200,3273
4477,3388,1089,1017,214000,3275
3393,2335,1058,894,180100,3276
1244,765,479,1047,249800,3278
270,230,40,915,131000,3279
466,431,35,995,212700,3280
3279,3039,240,1441,250600,3281
403,359,44,1114,212500,3282
318,275,43,-,234800,3284
1020,831,189,1168,251200,3285
667,541,126,1029,288500,3287
1950,1850,100,1036,306600,3290
24,24,0,-,-,3291
